"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/3711526276/status/1187166692960604160"	""	"0"	"Thu Oct 24 00:39:30 +0000 2019"	"0"	"0"	"1"	"https://t.co/5ORZomeo7B"	""	""	"durant__jr_"	"RT @ChelseaFC: Another epic night in Amsterdam! 😍  Three points are coming back to London! #AJACHE https://t.co/5ORZomeo7B"	"Stamford Bridge"	""	""
"http://twitter.com/19089967/status/1187169177670475776"	""	"0"	"Thu Oct 24 00:49:23 +0000 2019"	"0"	"0"	"0"	""	""	""	"LeeBruhGreene"	"That album has some GEMS."	"DMVirginia."	""	""
"http://twitter.com/1159893336490201091/status/1187418572806610944"	""	"0"	"Thu Oct 24 17:20:23 +0000 2019"	"0"	"0"	"0"	""	""	""	"AlaaAbe58"	"RT @PalSunBird: Tube carriages filled with #BoycottPuma in London today. 💪🇵🇸  Puma signed a four-year sponsorship deal with Israel Football…"	"Palestinian "	""	""
"http://twitter.com/1734639450/status/1187166652472930304"	""	"0"	"Thu Oct 24 00:39:21 +0000 2019"	"0"	"0"	"1"	"https://t.co/BzHUqlA7FQ"	""	""	"moremvlik"	"London Pound Cake https://t.co/BzHUqlA7FQ via @TheRealJayMills"	"Maryland, USA"	""	""
"http://twitter.com/2832429348/status/1187171066826887168"	""	"0"	"Thu Oct 24 00:56:53 +0000 2019"	"0"	"0"	"0"	""	""	""	"natavelii"	"😂"	""	""	""
"http://twitter.com/1090111904910061568/status/1187166621833539591"	""	"0"	"Thu Oct 24 00:39:13 +0000 2019"	"0"	"0"	"0"	""	""	""	"DandreJMcIntyre"	"If you're in London and you have tickets to see @AriLennox PUHHHHLEEEESE DM me lol"	""	""	""
"http://twitter.com/999558834/status/1187170997436370944"	""	"0"	"Thu Oct 24 00:56:37 +0000 2019"	"0"	"0"	"0"	""	""	""	"gshoose"	"RT @theorphanmoon68: You make a giant assumption here, I voted leave yet haven't a racist bone in my body. The majority of leave voters don…"	"Wishaw, Scotland"	""	""
"http://twitter.com/1329132350/status/1187166714527531008"	""	"0"	"Thu Oct 24 00:39:35 +0000 2019"	"0"	"0"	"1"	"https://t.co/5ORZomeo7B"	""	""	"donewifppl"	"RT @ChelseaFC: Another epic night in Amsterdam! 😍  Three points are coming back to London! #AJACHE https://t.co/5ORZomeo7B"	"+62"	""	""
"http://twitter.com/2830623808/status/1187170991346245632"	""	"0"	"Thu Oct 24 00:56:35 +0000 2019"	"0"	"0"	"0"	""	""	""	"glammedupabi"	"This was honestly a dream. It was amazing."	"West Side, St. Croix"	""	""
"http://twitter.com/2534949906/status/1187418563969273861"	""	"0"	"Thu Oct 24 17:20:21 +0000 2019"	"0"	"0"	"1"	"https://t.co/Jp05FCpm2F"	""	""	"KathleenHands77"	"@WhoopiGoldberg @ferrifrump So excited to have booked my tickets!! 😆 #OhHappyDay 🎶 @sisteractsocial @EventimApollo… https://t.co/Jp05FCpm2F"	""	""	""
